,0,1
154,"('Lemon Rice Combo [Full]', 'Vegetable Maggi')",0
155,"('Lemon Rice Combo [Full]', 'Lassi')",0
156,"('Lemon Rice Combo [Full]', 'Boiled Egg')",0
157,"('Lemon Rice Combo [Full]', 'Vegetable Chesse Maggi')",0
158,"('Lemon Rice Combo [Full]', 'Chicken Hot n Sour')",0
159,"('Lemon Rice Combo [Full]', 'Chicken Soup')",0
160,"('Lemon Rice Combo [Full]', 'Veg Raita')",0
161,"('Lemon Rice Combo [Full]', 'Chicken Monchow')",0
162,"('Lemon Rice Combo [Full]', 'Boiled Fry')",0
163,"('Lemon Rice Combo [Full]', 'Punjabi Salad')",0
164,"('Lemon Rice Combo [Full]', 'Tandoori Chicken Pahadi')",0
165,"('Lemon Rice Combo [Full]', 'Fish Tikka Masala')",0
166,"('Lemon Rice Combo [Full]', 'chicken masala full')",0
167,"('Lemon Rice Combo [Full]', 'Hyderabadi Chicken Dum Biryani')",0
168,"('Lemon Rice Combo [Full]', 'Veg Roll & Biryani Combo')",0
169,"('Lemon Rice Combo [Full]', 'Vegetable cheese')",0
170,"('Lemon Rice Combo [Full]', 'Veg Platter')",0
171,"('Lemon Rice Combo [Full]', 'Chicken Reshmi Kebab')",0
172,"('Lemon Rice Combo [Full]', 'Vegetable Cheese Half')",0
173,"('Lemon Rice Combo [Full]', 'Curd')",0
174,"('Lemon Rice Combo [Full]', 'Chicken Clear Soup')",0
175,"('Lemon Rice Combo [Full]', 'Palak Corn')",0
176,"('Lemon Rice Combo [Full]', 'Bread butter cheese')",0
177,"('Lemon Rice Combo [Full]', 'Green Tea')",0
178,"('Lemon Rice Combo [Full]', 'egg masala')",0
179,"('Lemon Rice Combo [Full]', 'Palak Paneer')",0
180,"('Lemon Rice Combo [Full]', 'Masala Cheese Half')",0
181,"('Lemon Rice Combo [Full]', 'Egg Boiled Fry')",0
182,"('Lemon Rice Combo [Full]', 'muttor paneer')",0
183,"('Lemon Rice Combo [Full]', 'Veg Monchow')",0
184,"('Lemon Rice Combo [Full]', 'Veg Soup')",0
185,"('Lemon Rice Combo [Full]', 'Singapuri Noodles')",0
186,"('Lemon Rice Combo [Full]', 'Veg Jalfrezi')",0
187,"('Lemon Rice Combo [Full]', 'Veg Lemon Coriander')",0
188,"('Lemon Rice Combo [Full]', 'Shimla cheese Paneer Half')",0
189,"('Lemon Rice Combo [Full]', 'Bati')",0
190,"('Lemon Rice Combo [Full]', 'Masala Mayo Cheese Half')",0
191,"('Lemon Rice Combo [Full]', 'Mushroom Burger')",0
192,"('Lemon Rice Combo [Full]', 'Paneer Bhurji')",0
193,"('Lemon Rice Combo [Full]', 'Peanut chaat')",0
194,"('Lemon Rice Combo [Full]', 'Mutton Curry [2 piece] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
195,"('Lemon Rice Combo [Full]', 'Keema Kaleji')",0
196,"('Lemon Rice Combo [Full]', 'Chicken Home Style [2 piece] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
197,"('Lemon Rice Combo [Full]', 'Egg Curry [2 Egg] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
198,"('Lemon Rice Combo [Full]', 'Dal Tadka with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
199,"('Lemon Rice Combo [Full]', 'Panner Butter Masala with 3 Whole Wheat Tandoori Roti [Serves 1')",0
200,"('Lemon Rice Combo [Full]', 'Chicken Curry [2 piece] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
201,"('Lemon Rice Combo [Full]', 'Chicken Rara [8 Piece]')",0
202,"('Lemon Rice Combo [Full]', 'Veg Chilly Garlic Noodles')",0
203,"('Lemon Rice Combo [Full]', 'Sev Tamatar with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
204,"('Lemon Rice Combo [Full]', 'Mutton Home Style [2 piece] with 3 Whole Wheat Tandoori Roti [Serves 1]')",0
205,"('Lemon Rice Combo [Full]', 'Paneer Lababdaar')",0
206,"('Non Veg Royal Platter', 'Chicken Platter')",0
207,"('Non Veg Royal Platter', 'Chole Bathure')",0
208,"('Non Veg Royal Platter', 'Chole Kulche Amritsari')",0
209,"('Non Veg Royal Platter', 'Paneer Garlic Tikka')",0
210,"('Non Veg Royal Platter', 'Paneer Pahadi Tikka')",0
211,"('Non Veg Royal Platter', 'Paneer Pudina Tikka')",0
212,"('Non Veg Royal Platter', 'Paneer Tikka Full')",0
213,"('Non Veg Royal Platter', 'Veg Seekh Kabab')",0
214,"('Non Veg Royal Platter', 'Corn Cheese Kabab')",0
215,"('Non Veg Royal Platter', 'Dal Fry')",0
216,"('Non Veg Royal Platter', 'Dal Makhani')",0
217,"('Non Veg Royal Platter', 'Sev Tamater')",0
218,"('Non Veg Royal Platter', 'Jeera Aloo')",0
219,"('Non Veg Royal Platter', 'Aloo Gobhi')",0
220,"('Non Veg Royal Platter', 'Aloo Palak')",0
221,"('Non Veg Royal Platter', 'Mushroom Masala')",0
222,"('Non Veg Royal Platter', 'Paneer Butter Masala')",0
223,"('Non Veg Royal Platter', 'Paneer Tikka Masala')",0
224,"('Non Veg Royal Platter', 'Tandoori Paratha')",0
225,"('Non Veg Royal Platter', 'Pudina Paratha')",0
226,"('Non Veg Royal Platter', 'Cheese Garlic Paratha')",0
227,"('Non Veg Royal Platter', 'Aloo Paratha')",0
228,"('Non Veg Royal Platter', 'Gobhi Paratha')",0
229,"('Non Veg Royal Platter', 'Paneer Paratha')",0
230,"('Non Veg Royal Platter', 'Plain Rice Full')",0
231,"('Non Veg Royal Platter', 'Jeera Rice Full')",0
232,"('Non Veg Royal Platter', 'Tadka Khichdi')",0
233,"('Non Veg Royal Platter', 'Egg Biryani')",0
234,"('Non Veg Royal Platter', 'Paneer Roll')",0
235,"('Non Veg Royal Platter', 'Chicken Roll')",0
236,"('Non Veg Royal Platter', 'Veg Manchurian')",0
237,"('Non Veg Royal Platter', 'Chicken Manchurian')",0
238,"('Non Veg Royal Platter', 'Fried Rice')",0
239,"('Non Veg Royal Platter', 'Egg Fried Rice')",0
240,"('Non Veg Royal Platter', 'Chicken Fried Rice')",0
241,"('Non Veg Royal Platter', 'Green Salad')",0
242,"('Non Veg Royal Platter', 'Kachumber Salad')",0
243,"('Non Veg Royal Platter', 'Roasted Papad')",0
244,"('Non Veg Royal Platter', 'Fry Papad')",0
245,"('Non Veg Royal Platter', 'Masala Papad')",0
246,"('Non Veg Royal Platter', 'Hyderabadi Mutton Dum Biryani')",0
247,"('Non Veg Royal Platter', 'Mutton Bhuna')",0
248,"('Non Veg Royal Platter', 'Tandoori Roti')",0
249,"('Non Veg Royal Platter', 'Bhel')",0
250,"('Non Veg Royal Platter', 'Cheese Chutney Half')",0
251,"('Non Veg Royal Platter', 'Cold Drink')",1
252,"('Non Veg Royal Platter', 'Cold Drink s')",0
253,"('Non Veg Royal Platter', 'Hot Coffee')",0
254,"('Non Veg Royal Platter', 'Masala Cheese Maggi')",0
255,"('Non Veg Royal Platter', 'Tomato Soup')",0
256,"('Non Veg Royal Platter', 'water bottle')",1
257,"('Non Veg Royal Platter', 'Chicken Nilgir')",0
258,"('Non Veg Royal Platter', 'Lachchha Paratha')",0
259,"('Non Veg Royal Platter', 'Hyderabadi Chicken Fry Piece Biryani')",0
260,"('Non Veg Royal Platter', 'Chicken Chettinad')",0
261,"('Non Veg Royal Platter', 'Chicken Home Style')",0
262,"('Non Veg Royal Platter', 'Chicken Tikka')",0
263,"('Non Veg Royal Platter', 'Fish Curry')",0
264,"('Non Veg Royal Platter', 'Plain Rice')",0
265,"('Non Veg Royal Platter', 'Chicken Handi')",0
266,"('Non Veg Royal Platter', 'Chicken Curry')",0
267,"('Non Veg Royal Platter', 'Tandoori Roti Butter')",0
268,"('Non Veg Royal Platter', 'Butter nan')",1
269,"('Non Veg Royal Platter', 'Mutton Curry')",0
270,"('Non Veg Royal Platter', 'Veg Noodles')",0
271,"('Non Veg Royal Platter', 'Dhaniya Chicken')",0
272,"('Non Veg Royal Platter', 'Tandoori Chicken')",0
273,"('Non Veg Royal Platter', 'Chicken Palak')",0
274,"('Non Veg Royal Platter', 'Chicken Garlic Tikka')",0
275,"('Non Veg Royal Platter', 'Butter maggi')",0
276,"('Non Veg Royal Platter', 'Tandoori Chicken Afgani')",0
277,"('Non Veg Royal Platter', 'Kadhai Paneer')",0
278,"('Non Veg Royal Platter', 'Butter Chicken')",0
279,"('Non Veg Royal Platter', 'Chicken Amritsari Tikka')",0
280,"('Non Veg Royal Platter', 'Chicken masala')",0
281,"('Non Veg Royal Platter', 'Omlette')",0
282,"('Non Veg Royal Platter', 'Kadhai Chicken')",0
283,"('Non Veg Royal Platter', 'Tawa Roti')",0
284,"('Non Veg Royal Platter', 'Chicken Tikka Masala')",0
285,"('Non Veg Royal Platter', 'Jeera Rice')",0
286,"('Non Veg Royal Platter', 'muttor Mushroom')",0
287,"('Non Veg Royal Platter', 'Fish Fry')",0
288,"('Non Veg Royal Platter', 'Garlic Nan')",0
289,"('Non Veg Royal Platter', 'Keema Masala')",0
290,"('Non Veg Royal Platter', 'Mutton Bati')",0
291,"('Non Veg Royal Platter', 'Dal tadhka')",0
292,"('Non Veg Royal Platter', 'Veg Biryani')",0
293,"('Non Veg Royal Platter', 'Chicken Malai Tikka')",0
294,"('Non Veg Royal Platter', 'Egg Curry')",0
295,"('Non Veg Royal Platter', 'Chicken Afghani Tikka')",0
296,"('Non Veg Royal Platter', 'Butter Tawa Roti')",0
297,"('Non Veg Royal Platter', 'Mutton Home Style')",0
298,"('Non Veg Royal Platter', 'Masala Cheese')",0
299,"('Non Veg Royal Platter', 'Veg Hot n Sour')",0
300,"('Non Veg Royal Platter', 'rajma rice')",0
301,"('Non Veg Royal Platter', 'Masala Maggi')",0
302,"('Non Veg Royal Platter', 'chole rice')",0
